Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_VETXML_REST,,,2018-09-21 10:39:10,2018-09-21 10:39:18,"7,312s",FAILED
,,,,,,
"Test Cases/VETXML_Rest/TC/1.VETXML - Solitud de consulta de un TEST de un paciente (VS2, VSPRO, HM5) a",,,2018-09-21 10:39:11,2018-09-21 10:39:14,"3,538s",FAILED
Start listener action : sampleBeforeTestCase,,,2018-09-21 10:39:11,2018-09-21 10:39:11,"0,018s",PASSED
callTestCase,,,2018-09-21 10:39:11,2018-09-21 10:39:12,"1,145s",FAILED
Start listener action : sampleAfterTestCase,,,2018-09-21 10:39:12,2018-09-21 10:39:12,"0,024s",PASSED
,,,,,,
Test Cases/VETXML_Rest/TC/2.FUSE Webapp - Verificar el estado,,,2018-09-21 10:39:14,2018-09-21 10:39:18,"3,330s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-21 10:39:14,2018-09-21 10:39:14,"0,013s",PASSED
callTestCase,,,2018-09-21 10:39:14,2018-09-21 10:39:16,"1,130s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-21 10:39:16,2018-09-21 10:39:16,"0,018s",PASSED
